page,level,name_zh,name_en,poisoning_chapter19,accidental,intentional_self_harm,undetermined_intent,treatment_adverse_effect
1644,0,氯苯达诺[敌退咳],"Clofedanol, Chlophedianol",T48.3,X44.-,X64.-,Y14.-,Y55.3
1644,0,氯苯丁胺-现译名 对氯苯丁胺,Chlorphentermine,T50.5,X44.-,X64.-,Y14.-,Y57.0
1644,0,氯苯甘醚(抗真菌药),Chlorphenesin,T42.8,X41.-,X61.-,Y11.-,Y46.8
1644,0,氯苯甲嗪-现译名美克洛嗪,Meclozine,T45.0,X44.-,X64.-,Y14.-,Y43.0
1644,0,氯苯那敏[氯非尼腊明][扑尔敏],Chlorpheniramine,T45.0,X44.-,X64.-,Y14.-,Y43.0
1644,0,氯苯哌酰胺-现译名洛哌丁胺,Loperamide,T47.6,X44.-,X64.-,Y14.-,Y53.6
1644,0,氯苯三嗪胺-现译名氯拉扎尼,Chlorazanil,T50.2,X44.-,X64.-,Y14.-,Y54.5
1644,0,氯苯氧胺-现译名氯苯沙明,Chlorphenoxamine,T45.0,X44.-,X64.-,Y14.-,Y43.0
1644,0,氯苯沙明[氯苯氧胺][氯甲,Chlorphenoxamine,T45.0,X44.-,X64.-,Y14.-,Y43.0
1644,0,氯苯氧嗪-现译名氯苄沙明,Chlorbenzoxamine,T44.3,X43.-,X63.-,Y13.-,Y51.3
1644,0,氯苯扎利(抗关节炎药),Lobenzarit,T39.3,X40.-,X60.-,Y10.-,Y45.3
1644,0,氯吡拉敏(抗组胺药),Chloropyramine,T45.0,X44.-,X64.-,Y14.-,Y43.0
1644,0,氯吡林(抗组胺药),Chloropyrilene,T45.0,X44.-,X64.-,Y14.-,Y43.0
1644,0,氯吡酸(抗炎镇痛药),Clopirac,T39.3,X40.-,X60.-,Y10.-,Y45.3
1644,0,氯苄雷司(食欲抑制药),Clobenzorex,T50.5,X44.-,X64.-,Y14.-,Y57.0
1644,0,氯苄沙明[氯苯氧嗪](抗胆碱药),Chlorbenzoxamine,T44.3,X43.-,X63.-,Y13.-,Y51.3
1644,0,氯丙胍(防疟药),Chlorproguanil,T37.2,X44.-,X64.-,Y14.-,Y41.2
1644,0,氯丙咪嗪(抗抑郁药),Chlorimipramine,T43.0,X41.-,X61.-,Y11.-,Y49.0
1644,0,氯丙嗪(抗精神病药),Chlorpromazine,T43.3,X41.-,X61.-,Y11.-,Y49.3
1644,0,氯丹(粉尘)(杀虫药),Chlordan(e) (dust),T60.1,X48.-,X68.-,Y18.-,
1645,0,氯氮平[氯扎平](抗精神病药),Clozapine,T42.4,X41.-,X61.-,Y11.-,Y47.1
1645,0,氯氮草[利眠宁],Chlordiazepoxide,T42.4,X41.-,X61.-,Y11.-,Y47.1
1645,0,氯登妥因(抗真菌药),Clodantoin,T49.0,X44.-,X64.-,Y14.-,Y56.0
1645,0,氯地孕酮(孕激素类),Chlormadinone,T38.5,X44.-,X64.-,Y14.-,Y42.5
1645,0,"氯碘羟喹(抗阿米巴药,局部抗菌药)","Iodochlorhydroxyquinoline, Clioquinol",T37.8,X44.-,X64.-,Y14.-,
1645,0,氯丁醇-现译名 三氯叔丁醇,"Chlorobutanol, Chlorbutol",T49.0,X44.-,X64.-,Y14.-,Y56.0
