page,level,name_zh,name_en,poisoning_chapter19,accidental,intentional_self_harm,undetermined_intent,treatment_adverse_effect
1573,0,1-丙醇,1-Propanol,T51.3,X45.-,X65.-,Y15.-,
1573,0,1-二氨基-8-二-精氨酸-加压素,DDAVP,T38.8,X44.-,X64.-,Y14.-,Y42.8
1573,0,1605(农药)-现译名 对硫磷,Thiofos,T60.0,X48.-,X68.-,Y18.-,Y56.0
1573,0,2-甲-4氯丙酸,Mecoprop,T60.3,X48.-,X68.-,Y18.-,
1573,0,2-甲氧乙醇,2-Methoxyethanol,T52.3,X46.-,X66.-,Y16.-,
1573,0,2-脱氧-5-氟尿苷,2-Deoxy-5-fluorouridine,T45.1,X44.-,X64.-,Y14.-,Y43.1
1573,0,2-氧基乙醇,2-Ethoxyethanol,T52.3,X46.-,X66.-,Y16.-,
1573,0,"2,3-丁基-4-羟基茴香醚",BHA,T50.9,X44.-,X64.-,Y14.-,Y57.4
1573,0,"2,3,7,8-四氯化二苯-对二噁英","2,3,7,8-Tetrachlorodibenzo-",T53.7,X46.-,X66.-,Y16.-,
1573,0,"2,4-二氯苯氧乙酸","2,4-Dichlorophenoxyacetic",T60.3,X48.-,X68.-,Y18.-,
1573,0,"2,4,5-三氯苯氧乙酸","2,4,5-T",T60.3,X48.-,X68.-,Y18.-,
1573,0,3-甲基苯乙妥因 - 现译名,Phenantoin,T42.0,X41.-,X61.-,Y11.-,Y46.2
1573,0,"3,3'-二氯联苯胺",Dichlorbenzidine,T65.3,X49.-,X69.-,Y19.-,
1573,0,4-氨基苯酚衍生物,4-Aminophenol derivatives,T39.1,X40.-,X60.-,Y10.-,Y45.5
1573,0,4-氨基丁酸,4-Aminobutyric acid,T43.8,X41.-,X61.-,Y11.-,Y49.8
1573,0,4-羟丁酸钠,Oxybate sodium,T41.2,X44.-,X64.-,Y14.-,Y48.2
1573,0,5-甲氧沙林,5-Methoxypsoralen (5-MOP),T50.9,X44.-,X64.-,Y14.-,Y57.8
1573,0,5-脱氧-5-氟尿苷,5-Deoxy-5-fluorouridine,T45.1,X44.-,X64.-,Y14.-,Y43.1
1573,0,6-氨基己酸(止血药),Epsilon aminocaproic acid,T45.6,X44.-,X64.-,Y14.-,Y44.3
1573,0,8-氨基喹啉药,8-Aminoquinoline drugs,T37.2,X44.-,X64.-,Y14.-,Y41.2
1573,0,8-甲氧沙林,8-Methoxypsoralen (8-MOP),T50.9,X44.-,X64.-,Y14.-,Y57.8
1573,0,N'烷羧乙基-N-乙酰氨基吡啶,Undecoylium,T49.0,X44.-,X64.-,Y14.-,Y56.0
1573,0,p-哌啶乙酰胺基苯甲酸乙酯,EPAB,T41.3,X44.-,X64.-,Y14.-,Y48.3
1573,0,α-红细胞生成素,Epoetin alpha,T45.8,X44.-,X64.-,Y14.-,Y44.1
1573,0,α-肾上腺素能阻断药,Alpha-adrenergic blocking,T44.6,X43.-,X63.-,Y13.-,Y51.6
1573,0,β-半乳糖苷酶,Beta-Galactosidase,T47.5,X44.-,X64.-,Y14.-,Y53.5
1573,0,β-醋地高辛(强心药),Beta-acetyldigoxin,T46.0,X44.-,X64.-,Y14.-,Y52.0
1573,0,β-谷甾醇,Beta-sitosterol(s),T46.6,X44.-,X64.-,Y14.-,Y52.6
1573,0,β-胡萝卜素- 现译名,Betacarotene,T45.2,X44.-,X64.-,Y14.-,Y57.7
1573,0,β-肾上腺素能阻断剂，心脏,Beta-adrenergic blocking,T44.7,X43.-,X63.-,Y13.-,Y51.7
1573,0,β-亚苄基丁酰胺,Beta-benzalbutyramide,T46.6,X44.-,X64.-,Y14.-,Y52.6
1573,0,β-优卡因,Beta-eucaine,T49.1,X44.-,X64.-,Y14.-,Y56.1
1573,0,γ-氨酪酸,Gamma-aminobutyric acid,T43.8,X41.-,X61.-,Y11.-,Y49.8
1574,0,吖啶,Acridine,T65.6,X49.-,X69.-,Y19.-,
1574,1,蒸气,vapor,T59.8,X47.-,X67.-,Y17.-,
1574,0,吖啶黄(消毒防腐剂),Acriflavinium chloride,T49.0,X44.-,X64.-,Y14.-,Y56.0
1574,0,阿苯达唑[丙硫咪唑](驱蠕虫药),Albendazole,T37.4,X44.-,X64.-,Y14.-,
1574,0,阿布拉霉素 B - 现译名,Chromomycin A3,T45.1,X44.-,X64.-,Y14.-,Y43.3
1574,0,阿布妥因(解痉药),Albutoin,T42.0,X41.-,X61.-,Y11.-,Y46.2
1574,0,阿地芬宁(解痉药),Adiphenine,T44.3,X43.-,X63.-,Y13.-,Y51.3
1574,0,阿地砜钠(抗菌药),Aldesulfone sodium,T37.1,X44.-,X64.-,Y14.-,Y41.1
1574,0,阿地西林(抗生素),Adicillin,T36.0,X44.-,X64.-,Y14.-,Y40.0
1574,0,阿度西林[叠氮西林](抗生素),Azidocillin,T36.0,X44.-,X64.-,Y14.-,Y40.0
1574,0,阿尔德林-现译名艾氏剂,Aldrin (dust),T60.1,X48.-,X68.-,Y18.-,
1574,0,阿尔葡西酶-现译名,Alglucerase,T45.3,X44.-,X64.-,Y14.-,Y43.6
1574,0,阿尔噻嗪(利尿剂，降压药),Altizide,T50.2,X44.-,X64.-,Y14.-,Y54.3
1574,0,阿尔维林(解痉药),Alverine,T44.3,X43.-,X63.-,Y13.-,Y51.3
1574,0,阿伐斯汀(抗组胺药),Acrivastine,T45.0,X44.-,X64.-,Y14.-,Y43.0
1574,0,阿法多龙(麻醉药),"Alfadolone, Alphadolone",T41.1,X44.-,X64.-,Y14.-,Y48.1
1574,0,阿法西多-现译名阿法骨化醇,Alfacalcidol,T45.2,X44.-,X64.-,Y14.-,Y54.7
1574,0,阿法罗定[安那度](镇痛药),Alphaprodine,T40.4,X42.-,X62.-,Y12.-,Y45.0
1574,0,阿法沙龙[羟-5α-孕烷二硐],"Alphaxalone, Alfaxalone",T41.1,X44.-,X64.-,Y14.-,Y48.1
1574,0,阿芬太尼(镇痛药),Alfentanil,T40.4,X42.-,X62.-,Y12.-,Y45.0
1574,0,阿夫唑嗪(氢氯化物),Alfuzosin (hydrochloride),T44.8,X43.-,X63.-,Y13.-,Y51.8
1574,0,阿库铵(神经肌肉阻断药),Alcuronium (chloride),T48.1,X44.-,X64.-,Y14.-,Y55.1
1574,0,阿拉明-现译名间羟胺,Metaraminol,T44.4,X43.-,X63.-,Y13.-,Y51.4
1574,0,阿拉普利(抗高血压药),Alacepril,T46.4,X44.-,X64.-,Y14.-,Y52.4
1574,0,阿立必利(镇吐药),Alizapride,T45.0,X44.-,X64.-,Y14.-,Y43.0
1574,0,阿利硫脲(外科用药),Allylthiourea,T49.3,X44.-,X64.-,Y14.-,Y56.3
1574,0,阿利马嗪(抗精神病药),Alimemazine,T43.3,X41.-,X61.-,Y11.-,Y49.3
1574,0,阿氯芬酸(抗炎镇痛药),Alclofenac,T39.3,X40.-,X60.-,Y10.-,Y45.3
1574,0,阿氯米松(肾上腺皮质激素类),Alclometasone,T49.0,X44.-,X64.-,Y14.-,Y56.0
1574,0,阿罗尼丁,Aplonidine,T44.4,X43.-,X63.-,Y13.-,Y51.4
1574,0,阿洛巴比妥(镇静催眠药),"Allobarbital, Diallymal",T42.3,X41.-,X61.-,Y11.-,Y47.0
1574,0,阿洛普令(镇痛药),Aloxiprin,T39.0,X40.-,X60.-,Y10.-,Y45.1
1574,0,阿洛西林(抗生素),Azlocillin,T36.0,X44.-,X64.-,Y14.-,Y40.0
1574,0,阿马灵- 现译名阿义马林,Ajmaline,T46.2,X44.-,X64.-,Y14.-,Y52.2
1574,0,阿吗碱-现译名萝巴新,Raubasine,T46.7,X44.-,X64.-,Y14.-,Y52.7
1574,0,阿霉素[亚德里亚霉素],Adriamycin,T45.1,X44.-,X64.-,Y14.-,Y43.3
1574,0,阿米苯唑[氨苯唑](中枢兴奋药，,Amiphenazole,T50.7,X44.-,X64.-,Y14.-,Y50.0
1574,0,阿米夫胺(抗抑郁药),Amiflamine,T43.1,X41.-,X61.-,Y11.-,Y49.1
1574,0,阿米庚酸-现译名安咪奈丁,Amineptine,T43.0,X41.-,X61.-,Y11.-,Y49.0
1575,0,阿米卡星[丁胺卡那霉素],Amikacin,T36.5,X44.-,X64.-,Y14.-,Y40.5
1575,0,阿米卡因[异戊卡因]，局部,"Amylocaine, regional",T41.3,X44.-,X64.-,Y14.-,Y48.3
1575,0,阿米凯林(解痉药),Amikhelline,T46.3,X44.-,X64.-,Y14.-,Y52.3
1575,0,阿米雷司[氨苯噁唑啉],Aminorex,T50.5,X44.-,X64.-,Y14.-,Y57.0
1575,0,阿米洛利(利尿剂),Amiloride,T50.2,X44.-,X64.-,Y14.-,Y54.5
1575,0,阿米三嗪[烯丙哌三嗪],Almitrine,T50.7,X44.-,X64.-,Y14.-,Y50.0
1575,0,阿米替林(抗抑郁药),Amitriptyline,T43.0,X41.-,X61.-,Y11.-,Y49.0
1575,0,阿米酮-现译名美沙酮,"Methadone, Amidone",T40.3,X42.-,X62.-,Y12.-,Y45.0
1575,0,阿明洛芬(抗炎镇痛药),Alminoprofen,T39.3,X40.-,X60.-,Y10.-,Y45.2
1575,0,阿莫地喹(抗疟药),Amodiaquine,T37.2,X44.-,X64.-,Y14.-,Y41.2
1575,0,阿莫沙平(抗抑郁药),Amoxapine,T43.0,X41.-,X61.-,Y11.-,Y49.0
1575,0,阿莫西林[羟氨苄青霉素](抗生素),Amoxicillin,T36.0,X44.-,X64.-,Y14.-,Y40.0
1575,0,阿尼利定(镇痛药),Anileridine,T40.4,X42.-,X62.-,Y12.-,Y45.0
1575,0,阿尼林-现译名苯胺,Aniline,T65.3,X49.-,X69.-,Y19.-,
1575,0,阿尼普酶(溶纤维蛋白药),Anistreplase,T45.6,X44.-,X64.-,Y14.-,Y44.5
1575,0,阿帕西林(抗生素),Apalcillin,T36.0,X44.-,X64.-,Y14.-,Y40.0
1575,0,阿片酊,Laudanum,T40.0,X42.-,X62.-,Y12.-,Y45.0
1575,0,阿片全碱(镇痛药),Papaveretum,T40.0,X42.-,X62.-,Y12.-,Y45.0
1575,0,阿片生物碱(总的),Opium alkaloids (total),T40.0,X42.-,X62.-,Y12.-,Y45.0
1575,1,标准化粉状的,standardized powdered,T40.0,X42.-,X62.-,Y12.-,Y45.0
1575,1,酊剂(含樟脑的),tincture (camphorated),T40.0,X42.-,X62.-,Y12.-,Y45.0
1575,0,阿片樟脑酊 -现译名 止痛剂,Paregoric,T40.0,X42.-,X62.-,Y12.-,Y45.0
1575,0,阿片制剂 NEC,Opiate NEC,T40.6,X42.-,X62.-,Y12.-,Y45.0
1575,0,阿扑吗啡(催吐药),Apomorphine,T47.7,X44.-,X64.-,Y14.-,Y53.7
1575,0,阿扑西林(抗生素),Aspoxicillin,T36.0,X44.-,X64.-,Y14.-,Y40.0
1575,0,阿朴长春-现译名长春西丁,Vinpocetine,T46.7,X44.-,X64.-,Y14.-,Y52.7
1575,0,阿普比妥(镇静催眠药),"Allypropymal, Aprobarbital",T42.3,X41.-,X61.-,Y11.-,Y47.0
1575,0,阿普林定[安搏律定],Aprindine,T46.2,X44.-,X64.-,Y14.-,Y52.2
1575,0,阿普洛尔[心得舒](β受体,Alprenolol,T44.7,X43.-,X63.-,Y13.-,Y51.7
1575,0,阿普唑仑(安定药),Alprazolam,T42.4,X41.-,X61.-,Y11.-,Y47.1
1575,0,阿奇霉素,Azithromycin,T36.3,X44.-,X64.-,Y14.-,Y40.3
1575,0,阿曲可宁-现译名,Atracurium besilate,T48.1,X44.-,X64.-,Y14.-,Y55.1
1575,0,阿柔比星[盐酸阿柔比星](抗生素),Aclarubicin,T45.1,X44.-,X64.-,Y14.-,Y43.3
1575,0,阿沙克肽(促皮质素类),Alsactide,T38.8,X44.-,X64.-,Y14.-,Y42.8
1575,0,阿舍西隆[蛇根混合碱],Alseroxylon,T46.5,X44.-,X64.-,Y14.-,Y52.5
1575,0,阿司咪唑(抗组胺药),Astemizole,T45.0,X44.-,X64.-,Y14.-,Y43.0
1575,0,阿司米星[阿司霉素](抗生素),Astromicin,T36.5,X44.-,X64.-,Y14.-,Y40.5
1575,0,阿司匹林[乙酰水杨酸](铝),Aspirin (aluminum) (soluble),T39.0,X40.-,X60.-,Y10.-,Y45.1
1575,1,肠衣,enteric coated,T39.0,X40.-,X60.-,Y10.-,Y45.1
1576,0,阿司匹林钙 - 现译名,Calcium Acetylsalicylate,T39.0,X40.-,X60.-,Y10.-,Y45.1
1576,0,阿糖胞苷[胞嘧啶阿拉伯糖苷] (抗病毒药，抗肿瘤药),"Ara-C, Cytarabine, Cytosine arabinoside",T45.1,X44.-,X64.-,Y14.-,
1576,0,阿糖脑苷酶[阿尔葡西酶],Alglucerase,T45.3,X44.-,X64.-,Y14.-,Y43.6
1576,0,阿糖腺苷(抗病毒药),"Adenine arabinoside, Ara-A",T37.5,X44.-,X64.-,Y14.-,Y41.5
1576,0,阿替卡因(局部麻醉药),Articaine,T41.3,X44.-,X64.-,Y14.-,Y48.3
1576,0,阿替洛尔(β受体阻滞剂),Atenolol,T44.7,X43.-,X63.-,Y13.-,Y51.7
1576,0,阿替普酶(纤维蛋白溶酶原,Alteplase,T45.6,X44.-,X64.-,Y14.-,Y44.5
1576,0,阿托方 - 现译名 辛可芬,Cinchophen,T50.4,X44.-,X64.-,Y14.-,Y54.8
1576,0,阿托卡因(局部麻醉药),Aptocaine,T41.3,X44.-,X64.-,Y14.-,Y48.3
1576,0,阿托品(抗胆碱药),Atropine,T44.3,X43.-,X63.-,Y13.-,Y51.3
1576,1,硝酸甲酯,methonitrate,T44.3,X43.-,X63.-,Y13.-,Y51.3
1576,1,衍生物,derivative,T44.3,X43.-,X63.-,Y13.-,Y51.3
1576,0,阿维A(抗牛皮癣药),Acitretin,T50.9,X44.-,X64.-,Y14.-,Y57.8
1576,0,阿维 A 酯(抗牛皮癣药),Etretinate,T50.9,X44.-,X64.-,Y14.-,Y57.8
1576,0,阿西美辛(抗炎镇痛药),Acemetacin,T39.3,X40.-,X60.-,Y10.-,Y45.3
1576,0,阿昔洛韦[无环鸟苷](核苷类,"Acyclovir, Aciclovir",T37.5,X44.-,X64.-,Y14.-,Y41.5
1576,0,阿昔莫司[氧甲吡嗪],Acipimox,T46.6,X44.-,X64.-,Y14.-,Y52.6
1576,0,阿义马林[阿马灵][西萝芙木碱],Ajmaline,T46.2,X44.-,X64.-,Y14.-,Y52.2
1576,0,阿扎胞苷(抗肿瘤药),Azacitidine,T45.1,X44.-,X64.-,Y14.-,Y43.1
1576,0,阿扎丙宗(消炎药),Azapropazone,T39.2,X40.-,X60.-,Y10.-,Y45.3
1576,0,阿扎环醇(安定药),Azacyclonol,T43.5,X41.-,X61.-,Y11.-,Y49.5
1576,0,阿扎立平(外科用药),Azaribine,T45.1,X44.-,X64.-,Y14.-,Y43.1
1576,0,阿扎培汀(降压药),Azapetine,T46.7,X44.-,X64.-,Y14.-,Y52.7
1576,0,阿扎他定(抗过敏药),Azatadine,T45.0,X44.-,X64.-,Y14.-,Y43.0
1576,0,阿扎替派(抗肿瘤药),Azatepa,T45.1,X44.-,X64.-,Y14.-,Y43.3
1576,0,阿扎硝唑(抗滴虫药),Azanidazole,T37.3,X44.-,X64.-,Y14.-,Y41.3
1576,0,癌化学治疗药物方案,Cancer chemotherapy drug,T45.1,X44.-,X64.-,Y14.-,Y43.3
1576,0,艾芬地尔(血管扩张药),Ifenprodil,T46.7,X44.-,X64.-,Y14.-,Y52.7
1576,0,艾氟洛芬(抗炎镇痛药),Esflurbiprofen,T39.3,X40.-,X60.-,Y10.-,Y45.2
1576,0,艾氏剂[阿尔德林][氯甲桥萘],Aldrin (dust),T60.1,X48.-,X68.-,Y18.-,
1576,0,艾司洛尔(β受体阻滞剂),Esmolol,T44.7,X43.-,X63.-,Y13.-,Y51.7
1576,0,艾司唑仑(安定药),Estazolam,T42.4,X41.-,X61.-,Y11.-,Y47.1
1576,0,爱庚嗪-现译名依索庚嗪,Ethoheptazine,T40.4,X42.-,X62.-,Y12.-,Y45.0
1576,0,爱普杷嗪 -现译名 普罗吩胺,Ethopropazine,T44.3,X43.-,X63.-,Y13.-,Y51.3
1576,0,安吖啶(抗肿瘤药),Amsacrine,T45.1,X44.-,X64.-,Y14.-,Y43.3
1576,0,安巴腙(消毒防腐剂),Ambazone,T49.6,X44.-,X64.-,Y14.-,Y56.6
1576,0,安贝氯铵[美斯的明],Ambenonium (chloride),T44.0,X43.-,X63.-,Y13.-,Y51.0
1576,0,安搏律定- 现译名 阿普林定,Aprindine,T46.2,X44.-,X64.-,Y14.-,Y52.2
1577,0,安布茶碱[氨异丁醇茶碱],"Ambuphylline, Bufylline",T48.6,X44.-,X64.-,Y14.-,Y55.6
1577,0,安定[地西泮],Diazepam,T42.4,X41.-,X61.-,Y11.-,Y47.1
1577,0,安定药[精神安定药]NEC,"Tranquilizer, Ataractic",T43.5,X41.-,X61.-,Y11.-,Y49.5
1577,1,二甲胺,dimethylamine,T43.3,X41.-,X61.-,Y11.-,Y49.3
1577,1,氨基甲酸酯,carbamate,T43.5,X41.-,X61.-,Y11.-,Y49.5
1577,1,伴有催眠药或镇静剂,with hypnotic or sedative,T42.6,X41.-,X61.-,Y11.-,Y47.5
1577,1,苯并二氮杂NEC,benzodiazepine NEC,T42.4,X41.-,X61.-,Y11.-,Y47.1
1577,1,丙胺,propylamine,T43.3,X41.-,X61.-,Y11.-,Y49.3
1577,1,丁酰苯NEC,butyrophenone NEC,T43.4,X41.-,X61.-,Y11.-,Y49.4
1577,1,吩噻嗪 NEC,penothiazine NEC,T43.3,X41.-,X61.-,Y11.-,Y49.3
1577,1,哌啶,piperidine,T43.3,X41.-,X61.-,Y11.-,Y49.3
1577,1,哌嗪NEC,piperazine NEC,T43.3,X41.-,X61.-,Y11.-,Y49.3
1577,1,强的 NEC,major NEC,T43.5,X41.-,X61.-,Y11.-,Y49.5
1577,1,羟嗪,hydroxyzine,T43.5,X41.-,X61.-,Y11.-,Y49.5
1577,1,噻吨NEC,thioxanthene NEC,T43.5,X41.-,X61.-,Y11.-,Y49.5
1577,1,乙胺,ethylamine,T43.3,X41.-,X61.-,Y11.-,Y49.3
1577,0,安毒鼠 - 现译名 萘硫脲(安妥),Naphthylthiourea (ANTU),T60.4,X48.-,X68.-,Y18.-,
1577,0,安非拉酮[二乙胺苯丙酮],"Diethylpropion, Amfepramone",T50.5,X44.-,X64.-,Y14.-,Y57.0
1577,0,安非他明NEC-现译名苯丙胺,Amphetamine,T43.6,X41.-,X61.-,Y11.-,Y49.7
1577,0,安非他尼(精神兴奋药),Amfetaminil,T43.6,X41.-,X61.-,Y11.-,Y49.7
1577,0,安非他酮[丁氨苯丙酮] (抗抑郁药),"Amfethamine, Bupropion",T43.2,X41.-,X61.-,Y11.-,
1577,0,安氟醚-现译名 恩氟烷,Enflurane,T41.0,X44.-,X64.-,Y14.-,Y48.0
1577,0,安福霉素[双霉素](抗生素),Amfomycin,T36.8,X44.-,X64.-,Y14.-,Y40.8
1577,0,安宫黄体酮(长效)-现译名,Medroxyprogesterone,T38.5,X44.-,X64.-,Y14.-,Y42.5
1577,0,安克痉 - 现译名 比哌立登,Biperiden,T44.3,X43.-,X63.-,Y13.-,Y51.3
1577,0,安克洛酶(抗凝药),Ancrod,T45.6,X44.-,X64.-,Y14.-,Y44.9
1577,0,安拉非宁[安曲非宁](镇痛药),Antrafenine,T39.3,X40.-,X60.-,Y10.-,Y45.3
1577,0,安咪奈丁[阿米庚酸](抗抑郁药),Amineptine,T43.0,X41.-,X61.-,Y11.-,Y49.0
1577,0,安眠药，丸剂,"Sleeping draught, pill",T42.7,X41.-,X61.-,Y11.-,Y47.9
1577,0,安那度-现译名阿法罗定,Alphaprodine,T40.4,X42.-,X62.-,Y12.-,Y45.0
1577,0,安乃近[去甲氨基比林],Metamizole sodium,T39.2,X40.-,X60.-,Y10.-,Y45.8
1577,0,安乃近[去甲氨基比林] (解热镇痛药),"Methampyrone, Sulpyrine, Noramidopyrine Analgin, Dipyrone",,,,,
1577,1,甲磺酸盐,methanesulfonate sodium,T39.2,X40.-,X60.-,Y10.-,Y45.8
1577,0,安哌齐特(抗精神病药),Amperozide,T43.5,X41.-,X61.-,Y11.-,Y49.5
1577,0,安普乐定(氢氯化物)(眼科用药),Apraclonidine (hydrochloride),T44.4,X43.-,X63.-,Y13.-,Y51.4
1577,0,安其敏-现译名布克力嗪,Buclizine,T45.0,X44.-,X64.-,Y14.-,Y43.0
1577,0,安曲非宁-现译名安拉非宁,Antrafenine,T39.3,X40.-,X60.-,Y10.-,Y45.3
1577,0,安莎霉素-现译名利福布汀,Ansamycin,T36.6,X44.-,X64.-,Y14.-,Y40.6
1577,0,"安他唑林(抗心律失常, 抗组胺药)",Antazolin(e),T45.0,X44.-,X64.-,Y14.-,Y43.0
1577,0,安体舒通-现译名螺内酯,Spironolactone,T50.0,X44.-,X64.-,Y14.-,Y54.1
1578,0,(解热镇痛药),Fenazone,T39.2,X40.-,X60.-,Y10.-,Y45.8
1578,0,安妥(α-萘硫脲),ANTU (alpha,T60.4,X48.-,X68.-,Y18.-,
1578,0,安妥明 - 现译名 氯贝丁酯,Clofibrate,T46.6,X44.-,X64.-,Y14.-,Y52.6
1578,0,安西奈德 - 现译名 安西缩松,Amcinonide,T49.0,X44.-,X64.-,Y14.-,Y56.0
1578,0,安西缩松[安西奈德],Amcinonide,T49.0,X44.-,X64.-,Y14.-,Y56.0
1578,0,安息香(酊)(中药),Benzoin (tincture),T48.5,X44.-,X64.-,Y14.-,Y55.5
1578,0,安息香酸-现译名 苯甲酸,Benzoic acid,T49.0,X44.-,X64.-,Y14.-,Y56.0
1578,0,桉树油[桉叶油],Eucalyptus oil,T49.7,X44.-,X64.-,Y14.-,Y56.7
1578,0,桉叶油 - 现译名 桉树油,Eucalyptus oil,T49.7,X44.-,X64.-,Y14.-,Y56.7
1578,0,氨(烟雾)(气态)(蒸气),Ammonia(fumes)(gas)(vapor),T59.8,X47.-,X67.-,Y17.-,
1578,1,芳香醑剂,aromatic spirit,T48.7,X44.-,X64.-,Y14.-,Y55.7
1578,1,液态(氨)(家用),liquid(household),T54.3,X49.-,X69.-,Y19.-,
1578,0,氨吖啶(抗生素),Aminoacridine,T49.0,X44.-,X64.-,Y14.-,Y56.0
1578,0,氨苯蝶啶[三氨苯喋啶](利尿剂),Triamterene,T50.2,X44.-,X64.-,Y14.-,Y54.5
1578,0,氨苯丁酯(局麻药),Butamben,T41.3,X44.-,X64.-,Y14.-,Y48.3
1578,0,氨苯砜[二氨基二苯砜],"Dapsone, DADPS",T37.1,X44.-,X64.-,Y14.-,Y41.1
1578,0,氨苯砜(抗麻风药),Diaphenylsulfone,T37.0,X44.-,X64.-,Y14.-,Y41.0
1578,0,氨苯磺胺 NEC - 现译名 磺胺,"Sulfonamide,Sulfanilamide",T37.0,X44.-,X64.-,Y14.-,Y41.0
1578,0,氨苯酞胺(抗真菌药),Amphotalide,T37.4,X44.-,X64.-,Y14.-,Y41.4
1578,0,氨苯唑-现译名阿米苯唑,Amiphenazole,T50.7,X44.-,X64.-,Y14.-,Y50.0
1578,0,氨苯噁唑啉-现译名阿米雷司,Aminorex,T50.5,X44.-,X64.-,Y14.-,Y57.0
1578,0,氨苄青霉素-现译名氨苄西林,Ampicillin,T36.0,X44.-,X64.-,Y14.-,Y40.0
1578,0,氨苄西林[氨苄青霉素](抗生素),Ampicillin,T36.0,X44.-,X64.-,Y14.-,Y40.0
1578,0,氨茶碱(平滑肌松弛药),Aminophylline,T48.6,X44.-,X64.-,Y14.-,Y55.6
1578,0,氨蝶呤钠[白血宁],Aminopterin sodium,T45.1,X44.-,X64.-,Y14.-,Y43.1
1578,0,氨丁三醇(酸碱平衡药),"Tromethamine, Trometamol",T50.2,X44.-,X64.-,Y14.-,Y54.5
1578,0,氨芬酸(抗炎镇痛药),Amfenac,T39.3,X40.-,X60.-,Y10.-,Y45.3
1578,0,氨酚氧胂-现译名氧芬胂,Oxophenarsine,T37.3,X44.-,X64.-,Y14.-,Y41.3
1578,0,氨氟喹酮-现译名氟喹酮,Afloqualone,T42.8,X41.-,X61.-,Y11.-,Y46.8
1578,0,氨磺必利(抗精神失常药),Amisulpride,T43.5,X41.-,X61.-,Y11.-,Y49.5
1578,0,氨磺丁脲[依凡诺](降血糖药),Carbutamide,T38.3,X44.-,X64.-,Y14.-,Y42.3
1578,0,氨基苯酚,Aminophenol,T54.0,X49.-,X69.-,Y19.-,
1578,0,氨基苯甲酸乙酯-现译名,Benzocaine,T41.3,X44.-,X64.-,Y14.-,Y48.3
1578,0,氨基比林[匹拉米酮],"Amidopyrine, Aminofena-",T39.2,X40.-,X60.-,Y10.-,Y45.8
1578,0,氨基比林异丙酯,Isopropylaminophenazone,T39.2,X40.-,X60.-,Y10.-,Y45.8
1578,0,氨基己酸(止血药),Aminocaproic acid,T45.6,X44.-,X64.-,Y14.-,Y44.3
1578,0,氨基甲酸酯(杀虫药),Carbamate (insecticide),T60.0,X48.-,X68.-,Y18.-,
1578,0,氨基甲酰甲基胆碱[氯贝胆碱],Bethanechol,T44.1,X43.-,X63.-,Y13.-,Y51.1
1578,1,氯化物,chloride,T44.1,X43.-,X63.-,Y13.-,Y51.1
1579,0,氨马尿酸[对氨马尿酸](诊断用药),Aminohippuric acid,T50.8,X44.-,X64.-,Y14.-,Y57.6
1579,0,氨基糖苷,Aminoglycoside,T36.5,X44.-,X64.-,Y14.-,Y40.5
1579,0,氨基乙酸 - 现译名 甘氨酸,Aminoacetic acid (derivatives),T50.3,X44.-,X64.-,Y14.-,Y54.6
1579,0,氨基乙酸二羟化铝 - 现译名甘羟铝,Dihydroxyaluminum aminoacetate,T47.1,X44.-,X64.-,Y14.-,Y53.1
1579,0,氨己烯酸(抗惊厥药),Vigabatrin,T42.6,X41.-,X61.-,Y11.-,Y46.6
1579,0,氨甲苯酸(止血药),Aminomethylbenzoic acid,T45.6,X44.-,X64.-,Y14.-,Y44.3
1579,0,氨甲丙二酯 - 现译名 甲丙氨酯,Meprobamate,T43.5,X41.-,X61.-,Y11.-,Y49.5
1579,0,氨甲环酸[止血环酸],Tranexamic acid,T45.6,X44.-,X64.-,Y14.-,Y44.3
1579,0,氨甲酸叔己酯 - 现译名,Emylcamate,T43.5,X41.-,X61.-,Y11.-,Y49.5
1579,0,氨来呫诺[氨氯地平],Amlexanox,T48.6,X44.-,X64.-,Y14.-,Y55.6
1579,0,氨氯地平 - 现译名 氨来呫诺,Amlexanox,T48.6,X44.-,X64.-,Y14.-,Y55.6
1579,0,氨乙吡啶-现译名倍他唑,"Betazole, Ametazole",T50.8,X44.-,X64.-,Y14.-,Y57.6
1579,0,氨异丁醇茶碱- 现译名,"Ambuphylline, Bufylline",T48.6,X44.-,X64.-,Y14.-,Y55.6
1579,0,铵,Ammonium,,,,,
1579,1,氨基磺酸(铵),sulfamate,T60.3,X48.-,X68.-,Y18.-,
1579,1,化合物(家用)NEC,compounds (household),T54.3,X49.-,X69.-,Y19.-,
1579,2,工业的,industrial,T54.3,X49.-,X69.-,Y19.-,
1579,2,烟雾(任何用途),fumes (any usage),T59.8,X47.-,X67.-,Y17.-,
1579,1,磺酸树脂,sulfonate resin,T47.8,X44.-,X64.-,Y14.-,Y53.8
1579,1,酒石酸,acid tartrate,T49.5,X44.-,X64.-,Y14.-,Y56.5
1579,1,氯化(铵),chloride,T50.9,X44.-,X64.-,Y14.-,Y43.5
1579,1,溴化(铵),bromide,T42.6,X41.-,X61.-,Y11.-,Y47.4
1579,0,胺苯吖啶(抗肿瘤药),M-AMSA,T45.1,X44.-,X64.-,Y14.-,Y43.3
1579,0,胺苯冰酯-现译名波那普令,Bornaprine,T44.3,X43.-,X63.-,Y13.-,Y51.3
